Date,Yield
2000-01-31,0.004669839200035719
2000-02-29,0.0047410646014303115
2000-03-31,0.004756884928587057
2000-04-30,0.004709415724342136
2000-05-31,0.0048201388511142085
2000-06-30,0.004733153410191093
2000-07-31,0.004669839200035719
2000-08-31,0.004764794064753053
2000-09-30,0.004701501791267937
2000-10-31,0.004646085051248194
2000-11-30,0.0047410646014303115
2000-12-31,0.0043367175322408524
2001-01-31,0.003778799343900019
2001-02-28,0.0036828128357737633
2001-03-31,0.003362126519063313
2001-04-30,0.0031128168457330574
2001-05-31,0.0029516094330215292
2001-06-30,0.002765867856804771
2001-07-31,0.002782034329272154
2001-08-31,0.0026769009734601834
2001-09-30,0.0026769009734601834
2001-10-31,0.0026769009734601834
2001-11-30,0.0026769009734601834
2001-12-31,0.0026769009734601834
2002-01-31,0.00138112690341341
2002-02-28,0.00138112690341341
2002-03-31,0.00138112690341341
2002-04-30,0.00138112690341341
2002-05-31,0.00138112690341341
2002-06-30,0.00138112690341341
2002-07-31,0.00138112690341341
2002-08-31,0.00138112690341341
2002-09-30,0.00138112690341341
2002-10-31,0.00138112690341341
2002-11-30,0.00138112690341341
2002-12-31,0.00138112690341341
2003-01-31,0.00138112690341341
2003-02-28,0.00138112690341341
2003-03-31,0.00138112690341341
2003-04-30,0.00138112690341341
2003-05-31,0.00138112690341341
2003-06-30,0.00138112690341341
2003-07-31,0.00138112690341341
2003-08-31,0.00138112690341341
2003-09-30,0.00138112690341341
2003-10-31,0.00138112690341341
2003-11-30,0.00138112690341341
2003-12-31,0.00138112690341341
2004-01-31,0.00138112690341341
2004-02-29,0.00138112690341341
2004-03-31,0.00138112690341341
2004-04-30,0.00138112690341341
2004-05-31,0.00138112690341341
2004-06-30,0.00138112690341341
2004-07-31,0.00138112690341341
2004-08-31,0.00138112690341341
2004-09-30,0.00138112690341341
2004-10-31,0.00138112690341341
2004-11-30,0.00138112690341341
2004-12-31,0.00138112690341341
2005-01-31,0.00138112690341341
2005-02-28,0.00138112690341341
2005-03-31,0.00138112690341341
2005-04-30,0.00138112690341341
2005-05-31,0.00138112690341341
2005-06-30,0.00138112690341341
2005-07-31,0.00138112690341341
2005-08-31,0.00138112690341341
2005-09-30,0.00138112690341341
2005-10-31,0.00138112690341341
2005-11-30,0.00138112690341341
2005-12-31,0.00138112690341341
2006-01-31,0.00138112690341341
2006-02-28,0.00138112690341341
2006-03-31,0.00138112690341341
2006-04-30,0.00138112690341341
2006-05-31,0.00138112690341341
2006-06-30,0.00138112690341341
2006-07-31,0.00138112690341341
2006-08-31,0.00138112690341341
2006-09-30,0.00138112690341341
2006-10-31,0.00138112690341341
2006-11-30,0.00138112690341341
2006-12-31,0.00138112690341341
2007-01-31,0.00138112690341341
2007-02-28,0.00138112690341341
2007-03-31,0.00138112690341341
