Date,Net Return
2021-04-30,-0.0229
2021-05-31,0.0174
2021-06-30,-0.0391
2021-07-31,0.0398
2021-08-31,-0.0019
2021-09-30,0.013600000000000001
2021-10-31,0.0388
2021-11-30,-0.010700000000000001
2021-12-31,0.020499999999999997
2022-01-31,-0.0101
2022-02-28,0.032799999999999996
2022-03-31,0.0127
2022-04-30,-0.0191
2022-05-31,0.0115
2022-06-30,-0.0146
2022-07-31,-0.04019999999999999
2022-08-31,0.0374
2022-09-30,-0.013600000000000001
2022-10-31,-0.0067
2022-11-30,-0.0129
2022-12-31,0.016
2023-01-31,-0.0085
2023-02-28,-0.013300000000000001
2023-03-31,0.0187
2023-04-30,0.0369
2023-05-31,0.005
2023-06-30,0.0315
2023-07-31,0.0206
2023-08-31,0.0385
2023-09-30,0.0006
2023-10-31,0.013000000000000001
2023-11-30,0.0091
2023-12-31,-0.0143
2024-01-31,0.0426
2024-02-29,0.028300000000000002
2024-03-31,0.0434
2024-04-30,-0.0011
2024-05-31,0.0254
2024-06-30,-0.0256
2024-07-31,0.001
2024-08-31,-0.0163
2024-09-30,0.0008
2024-10-31,-0.0252
2024-11-30,0.045899999999999996
2024-12-31,0.0053
2025-01-31,0.0311
2025-02-28,0.012
2025-03-31,0.0139
2025-04-30,0.021
2025-05-31,0.0028000000000000004
2025-06-30,0.047400000000000005
2025-07-31,-0.022400000000000003
2025-08-31,0.0174
2025-09-30,-0.015700000000000002
2025-10-31,0.061900000000000004
2025-11-30,0.046900000000000004
2025-12-31,0.001
